eval_bucket,rating_band,avg(white_won)
+100 to +300,1200-1600,0.6023010420220323
+100 to +300,1600-2000,0.6314201834159113
+100 to +300,2000-2400,0.6762301944450259
+100 to +300,2400+,0.7013911547474269
+100 to +300,<1200,0.5646377968469367
+300 to +500,1200-1600,0.6726116091931925
+300 to +500,1600-2000,0.7132278144260206
+300 to +500,2000-2400,0.7751949926561208
+300 to +500,2400+,0.8126401630988787
+300 to +500,<1200,0.608605648380896
-100 to +100,1200-1600,0.482632863473985
-100 to +100,1600-2000,0.47672853530987547
-100 to +100,2000-2400,0.4686072391580507
-100 to +100,2400+,0.4532468827561754
-100 to +100,<1200,0.47582709095371095
-300 to -100,1200-1600,0.3633348213018606
-300 to -100,1600-2000,0.3243015607257699
-300 to -100,2000-2400,0.26683760995359823
-300 to -100,2400+,0.21294964028776978
-300 to -100,<1200,0.4007288629737609
-500 to -300,1200-1600,0.29705182712538836
-500 to -300,1600-2000,0.2520948806354471
-500 to -300,2000-2400,0.19255854962252714
-500 to -300,2400+,0.14638976756979782
-500 to -300,<1200,0.35480102227090177
< -500,1200-1600,0.15784897302032821
< -500,1600-2000,0.13431723131083761
< -500,2000-2400,0.09889908339770781
< -500,2400+,0.08166661045341608
< -500,<1200,0.20154476084124326
> +500,1200-1600,0.8110115373354435
> +500,1600-2000,0.840687296338892
> +500,2000-2400,0.8778087766704602
> +500,2400+,0.8765268817204301
> +500,<1200,0.7632769661413398
