eco,opening,rating_band,games,white_win_rate,pct_of_band
A00,Van't Kruijs Opening,1200-1600,36522,0.4577788730080499,3.0153243071202174
B01,Scandinavian Defense: Mieses-Kotroc Variation,1200-1600,28829,0.5682125637379029,2.3801759063021946
B01,Scandinavian Defense,1200-1600,27185,0.4604009564097848,2.2444442059323997
C20,King's Pawn Game: Wayward Queen Attack,1200-1600,25387,0.5094339622641509,2.0959979788856296
C41,Philidor Defense #3,1200-1600,20124,0.5459650168952495,1.6614749016069015
D00,Queen's Pawn Game #2,1200-1600,19188,0.4890035438815927,1.5841969992065805
C41,Philidor Defense #2,1200-1600,18551,0.5014823998706269,1.531605093406362
A40,Horwitz Defense,1200-1600,18423,0.5068664169787765,1.5210371751293952
C00,French Defense: Knight Variation,1200-1600,17982,0.4934934934934935,1.4846273941907824
C20,King's Pawn Game: Leonardis Variation,1200-1600,17881,0.45668586768077846,1.476288646175363
C23,Bishop's Opening,1200-1600,15936,0.5470005020080321,1.3157058254823883
B20,Sicilian Defense: Bowdler Attack,1200-1600,14930,0.45860683188211654,1.2326485927743511
B00,Owen Defense,1200-1600,13365,0.5070707070707071,1.1034392794661219
B20,Sicilian Defense,1200-1600,11917,0.4129394981958547,0.9838897039579331
D00,Queen's Pawn Game,1200-1600,11854,0.4340307069343681,0.9786883066809884
A00,Hungarian Opening,1200-1600,11301,0.48101937881603396,0.9330315972500294
B06,Modern Defense,1200-1600,11080,0.49855595667870034,0.9147854258499536
C55,Italian Game: Anti-Fried Liver Defense,1200-1600,9971,0.5116838832614582,0.8232243214034195
C50,Italian Game,1200-1600,9654,0.5764449968924799,0.7970522112956185
C00,French Defense: Normal Variation,1200-1600,9643,0.5337550554806595,0.7961440308186917
D00,Queen's Pawn Game: Mason Attack,1200-1600,9619,0.529784800914856,0.7941625461417603
B07,Pirc Defense #4,1200-1600,9330,0.4984994640943194,0.7703021681570459
C00,French Defense #2,1200-1600,8702,0.43714088715237875,0.7184533191106767
C44,Scotch Game,1200-1600,8650,0.5685549132947977,0.7141601023106587
B10,Caro-Kann Defense,1200-1600,8329,0.4669227998559251,0.6876577447567026
C41,Philidor Defense,1200-1600,8295,0.5533453887884268,0.6848506414643832
D02,Queen's Pawn Game: Zukertort Variation,1200-1600,8277,0.5328017397607829,0.6833645279566847
C20,King's Pawn Game: Napoleon Attack,1200-1600,8230,0.4905224787363305,0.6794841204643609
C45,Scotch Game,1200-1600,8078,0.5131220599158207,0.6669347175104627
D02,Queen's Pawn Game: Chigorin Variation,1200-1600,7966,0.5263620386643234,0.6576877890181165
C40,King's Pawn Game: McConnell Defense,1200-1600,7911,0.527619769940589,0.6531468866334823
B30,Sicilian Defense: Old Sicilian,1200-1600,7803,0.47853389721901834,0.6442302055872915
C24,Bishop's Opening: Berlin Defense,1200-1600,7733,0.5022630285788181,0.6384508752795751
C46,Three Knights Opening,1200-1600,7141,0.49558885310180645,0.5895742532486028
C40,King's Pawn Game: Damiano Defense,1200-1600,7133,0.6245618954156736,0.5889137583562923
C20,King's Pawn Game,1200-1600,6962,0.30379201378914106,0.5747956800331568
C40,King's Pawn Game: Busch-Gass Gambit,1200-1600,6900,0.5418840579710145,0.5696768446177509
B50,Sicilian Defense,1200-1600,6871,0.4681996798137098,0.5672825506331257
A45,Indian Game,1200-1600,6814,0.4615497505136484,0.5625765245254137
D06,Queen's Gambit Refused: Marshall Defense,1200-1600,6599,0.5541748749810578,0.5448257242945709
B21,Sicilian Defense: Smith-Morra Gambit #2,1200-1600,6582,0.4457611668185962,0.5434221726484111
D20,Queen's Gambit Accepted: Old Variation,1200-1600,6493,0.5917141537039889,0.5360741669714575
C42,Russian Game: Three Knights Game,1200-1600,6364,0.5540540540540541,0.5254236868329517
D00,Queen's Pawn Game: Chigorin Variation,1200-1600,6320,0.48860759493670886,0.5217909649252443
A40,Queen's Pawn,1200-1600,6283,0.5654941906732452,0.5187361760483086
A00,Mieses Opening,1200-1600,6157,0.44778301120675656,0.5083333814944193
C62,Ruy Lopez: Steinitz Defense,1200-1600,5956,0.49949630624580255,0.49173844732511957
A40,Modern Defense,1200-1600,5926,0.4811002362470469,0.4892615914789554
C21,Center Game #2,1200-1600,5917,0.5580530674328207,0.48851853472510615
C42,Russian Game: Urusov Gambit,1200-1600,5819,0.5616085238013404,0.4804274722943033
D30,Queen's Gambit Declined,1200-1600,5797,0.5140589960324305,0.4786111113404496
C40,King's Knight Opening,1200-1600,5779,0.6532272019380516,0.4771249978327511
C46,Four Knights Game: Italian Variation,1200-1600,5731,0.5199790612458559,0.4731620284788885
C44,King's Knight Opening: Normal Variation,1200-1600,5659,0.41632797314013076,0.46721757444809464
C20,"King's Pawn Game: Wayward Queen Attack, Kiddie Countergambit",1200-1600,5371,0.47533047849562465,0.4434397583249189
C22,Center Game: Normal Variation,1200-1600,5212,0.3718342287029931,0.430312422340249
A40,English Defense #2,1200-1600,4797,0.5019804044194288,0.39604924980164513
C27,Vienna Game,1200-1600,4711,0.514540437274464,0.38894892970930794
C02,French Defense: Advance Variation #3,1200-1600,4643,0.5561059659702778,0.3833347231246692
B01,Scandinavian Defense: Main Line,1200-1600,4611,0.514422034265886,0.3806927435554275
D01,Queen's Pawn Game: Chigorin Variation,1200-1600,4588,0.468613775065388,0.378793820740035
D00,Queen's Pawn Game #3,1200-1600,4504,0.4547069271758437,0.3718586243707754
A20,English Opening: King's English Variation,1200-1600,4441,0.5061922990317496,0.36665722709383075
C40,Elephant Gambit,1200-1600,4368,0.5583791208791209,0.360630211201498
D20,Queen's Gambit Accepted,1200-1600,4269,0.5657062543921293,0.3524565869091563
B00,Nimzowitsch Defense,1200-1600,4219,0.4979853045745437,0.34832849383221615
A06,Zukertort Opening: Tennison Gambit,1200-1600,4214,0.45965828191741814,0.3479156845245221
A40,"Englund Gambit Declined, Reversed French",1200-1600,4183,0.46186947167104947,0.3453562668168192
A41,Queen's Pawn,1200-1600,4050,0.5202469135802469,0.3343755392321582
B40,Sicilian Defense: French Variation,1200-1600,4013,0.44729628706703217,0.3313207503552224
C65,Ruy Lopez: Berlin Defense #2,1200-1600,3961,0.5273920727089119,0.3270275335552046
B06,Robatsch (Modern) Defense,1200-1600,3887,0.5009004373552869,0.32091795580133303
C00,Rat Defense: Small Center Defense,1200-1600,3849,0.5305274097168096,0.3177806050628585
C00,French Defense: Steinitz Attack,1200-1600,3786,0.49498151082937136,0.3125792077859138
A00,Polish Opening,1200-1600,3744,0.5064102564102564,0.30911160960128403
C20,English Opening: The Whale,1200-1600,3712,0.4682112068965517,0.30646963003204225
B07,King's Pawn Game: Maroczy Defense,1200-1600,3699,0.5604217356042174,0.3053963258320378
A40,Englund Gambit,1200-1600,3690,0.5650406504065041,0.30465326907818857
B21,Sicilian Defense: McDonnell Attack,1200-1600,3515,0.4910384068278805,0.2902049433088978
C42,Petrov's Defense,1200-1600,3485,0.48923959827833574,0.28772808746273365
C50,Giuoco Piano,1200-1600,3456,0.4586226851851852,0.2853337934781083
A00,Saragossa Opening,1200-1600,3454,0.45078170237405907,0.2851686697550307
C30,King's Gambit,1200-1600,3358,0.5955926146515783,0.2772427310473055
C20,King's Pawn Game: Macleod Attack,1200-1600,3332,0.45588235294117646,0.27509612264729655
A40,Mikenas Defense,1200-1600,3243,0.5710761640456368,0.26774811697034295
C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",1200-1600,3171,0.532639545884579,0.26180366293954904
C20,Bishop's Opening: Boi Variation,1200-1600,3162,0.5423782416192283,0.2610606061856998
B20,Sicilian Defense: Staunton-Cochrane Variation,1200-1600,3128,0.4328644501278772,0.25825350289338045
B00,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation",1200-1600,3121,0.5885933995514259,0.2576755698626088
A00,Van Geet Opening,1200-1600,3109,0.45223544548086203,0.2566848275241432
C01,French Defense: Exchange Variation,1200-1600,3065,0.5011419249592169,0.25305210561643576
A43,Old Benoni Defense,1200-1600,3031,0.4599142197294622,0.2502450023241164
B02,Alekhine Defense,1200-1600,3002,0.5676215856095936,0.24785070833949108
A02,Bird Opening,1200-1600,2964,0.4773954116059379,0.2447133576010165
C00,French Defense: Queen's Knight,1200-1600,2927,0.4902630679877007,0.24165856872408073
C20,King's Pawn Game: King's Head Opening #2,1200-1600,2901,0.39986211651154774,0.2395119603240718
B22,Sicilian Defense: Alapin Variation,1200-1600,2878,0.5107713690062543,0.2376130375086793
C00,French Defense: King's Indian Attack,1200-1600,2864,0.4622905027932961,0.23645717144713604
A10,English Opening: Anglo-Scandinavian Defense,1200-1600,2743,0.5570543200874954,0.22646718620094072
B23,Sicilian Defense: Closed Variation,1200-1600,2741,0.4837650492520978,0.22630206247786308
C50,Four Knights Game: Italian Variation,1200-1600,2711,0.4968646255994098,0.22382520663169897
D31,Queen's Gambit Declined: Queen's Knight Variation,1200-1600,2698,0.5845070422535211,0.22275190243169452
B00,"Nimzowitsch Defense: Scandinavian Variation, Advance Variation",1200-1600,2683,0.5311218784942229,0.22151347450861245
B00,St. George Defense,1200-1600,2667,0.5140607424071991,0.22019248472399158
C41,Philidor Defense: Exchange Variation #2,1200-1600,2639,0.5202728306176582,0.21788075260090506
C60,Ruy Lopez,1200-1600,2633,0.5457652867451576,0.21738538143167221
A04,Zukertort Opening: Queen's Gambit Invitation,1200-1600,2631,0.5089319650323071,0.2172202577085946
C50,"Italian Game: Giuoco Pianissimo, Normal",1200-1600,2630,0.5049429657794677,0.2171376958470558
B01,Scandinavian Defense: Modern Variation #2,1200-1600,2628,0.4889649923896499,0.2169725721239782
C00,French Defense: La Bourdonnais Variation,1200-1600,2607,0.5063291139240507,0.2152387730316633
C30,"King's Gambit Declined, Queen's Knight Defense",1200-1600,2597,0.5463996919522526,0.21441315441627526
C42,Russian Game: Damiano Variation,1200-1600,2592,0.6693672839506173,0.21400034510858124
C46,Four Knights Game,1200-1600,2515,0.4170974155069582,0.20764308177009327
A21,"English Opening: King's English Variation, Reversed Sicilian",1200-1600,2490,0.5465863453815261,0.2055790352316232
B07,Pirc Defense #5,1200-1600,2471,0.5305544314042897,0.2040103598623859
A03,Bird Opening: Dutch Variation,1200-1600,2431,0.4796380090497738,0.2007078854008337
C34,"King's Gambit Accepted, MacLeod Defense",1200-1600,2413,0.5719021964359718,0.19922177189313525
C68,Ruy Lopez: Exchange Variation,1200-1600,2410,0.487551867219917,0.19897408630851882
A01,Nimzo-Larsen Attack: Classical Variation,1200-1600,2359,0.4862229758372192,0.1947634313700398
C57,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",1200-1600,2343,0.5134443021766966,0.1934424415854189
A00,Grob Opening,1200-1600,2330,0.43648068669527895,0.19236913738541447
C61,Ruy Lopez: Bird Variation,1200-1600,2307,0.5093194625054183,0.19047021457002195
A00,Mieses Opening: Reversed Rat,1200-1600,2279,0.4313295304958315,0.18815848244693542
C02,"French Defense: Advance Variation, Nimzowitsch System",1200-1600,2234,0.41942703670546105,0.18444319867768924
C47,Four Knights Game: Scotch Variation Accepted,1200-1600,2214,0.48870822041553746,0.18279196144691312
B00,Caro-Kann Defense: Hillbilly Attack,1200-1600,2210,0.4502262443438914,0.18246171400075792
D02,Queen's Pawn Game: Symmetrical Variation,1200-1600,2200,0.46863636363636363,0.18163609538536987
B12,Caro-Kann Defense: Advance Variation,1200-1600,2199,0.5034106412005457,0.18155353352383108
A00,Kadas Opening,1200-1600,2199,0.394724874943156,0.18155353352383108
D04,Queen's Pawn Game: Colle System,1200-1600,2199,0.5006821282401092,0.18155353352383108
A01,Nimzo-Larsen Attack,1200-1600,2189,0.5335769757880311,0.18072791490844303
C42,Petrov's Defense #2,1200-1600,2180,0.5114678899082569,0.17998485815459378
A13,English Opening: Agincourt Defense,1200-1600,2063,0.5341735336888027,0.17032512035455366
C60,Ruy Lopez: Cozio Defense,1200-1600,2029,0.5150320354854608,0.16751801706223432
D10,Slav Defense,1200-1600,2005,0.48079800498753117,0.165536532385303
D10,Slav Defense #2,1200-1600,2000,0.516,0.16512372307760897
C44,Ponziani Opening: Jaenisch Counterattack,1200-1600,1998,0.45095095095095095,0.16495859935453136
C46,Three Knights Opening #2,1200-1600,1994,0.4704112337011033,0.16462835190837616
A00,Van Geet Opening: Reversed Nimzowitsch,1200-1600,1980,0.4409090909090909,0.16347248584683288
